station,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,WS,WD,SR,BP,AT,RF,TOT-RF,latitude,longitude,PM2.5_pred
"Jahangirpuri, Delhi - DPCC",2022-01-12,190.29250000000002,251.30208333333334,31.665000000000003,53.32083333333333,54.18208333333333,72.70125,11.821666666666667,1.8191666666666666,26.696250000000003,,11.981666666666667,82.57208333333334,0.2454166666666667,210.29791666666665,55.25541666666667,994.3299999999999,12.153333333333334,0.0,0.0,28.73282,77.170633,112.77897933167499
"Jahangirpuri, Delhi - DPCC",2022-01-13,260.40208333333334,355.95238095238096,57.19625,67.4725,82.51416666666667,77.2725,9.471666666666666,2.14125,17.627083333333335,,17.154166666666665,90.92541666666666,0.225,140.22458333333336,39.05041666666667,994.5629166666668,11.766666666666666,0.0,0.0,28.73282,77.170633,201.64047177200118
"Jahangirpuri, Delhi - DPCC",2022-01-14,259.205,355.90291666666667,55.22291666666666,56.92958333333333,75.29833333333333,74.81208333333335,11.3375,2.1195833333333334,16.196250000000003,,19.279583333333335,92.16041666666666,0.43875000000000003,147.48666666666665,40.242916666666666,995.3149999999999,11.258333333333333,0.0,0.0,28.73282,77.170633,182.06357281688804
"Jahangirpuri, Delhi - DPCC",2022-01-15,200.62458333333333,265.5208333333333,20.785416666666666,40.641666666666666,38.2125,78.48666666666666,7.826666666666667,1.5566666666666666,17.72125,,8.219166666666668,88.35333333333334,0.31375,172.37458333333333,22.654166666666665,996.8683333333333,11.032499999999999,0.0,0.0,28.73282,77.170633,116.27597804173891
"Jahangirpuri, Delhi - DPCC",2022-01-16,199.80583333333334,258.8854166666667,13.984583333333333,39.170833333333334,32.23833333333334,85.05291666666666,7.172916666666666,1.5975000000000001,22.515416666666667,,6.047083333333333,83.99458333333332,0.30541666666666667,150.45083333333332,47.23791666666667,997.3408333333333,10.997083333333334,0.0,0.0,28.73282,77.170633,134.6918388485905
"Jahangirpuri, Delhi - DPCC",2022-01-17,279.5,390.1875,38.30083333333333,63.74791666666667,65.13583333333334,81.76166666666667,9.582500000000001,2.03625,19.575833333333335,,10.544583333333334,83.54416666666667,0.305,148.24916666666667,46.40833333333333,997.8604166666668,11.46125,0.0,0.0,28.73282,77.170633,171.0105986756802
"Jahangirpuri, Delhi - DPCC",2022-01-18,289.38875,390.8958333333333,26.750416666666666,52.915,49.9475,87.70541666666668,11.365416666666667,1.9191666666666667,15.575000000000001,,14.286666666666667,83.08916666666666,0.32375,185.2975,47.01291666666666,995.8920833333335,11.433749999999998,0.0,0.0,28.73282,77.170633,174.91133943602694
"Jahangirpuri, Delhi - DPCC",2022-01-19,261.57,373.6770833333333,25.64708333333333,55.861250000000005,50.61291666666667,92.45416666666667,11.72625,1.9341666666666668,20.530416666666667,,12.455833333333333,83.98791666666666,0.3279166666666667,121.32583333333332,46.57125,993.0420833333334,11.841666666666667,0.0,0.0,28.73282,77.170633,184.25384675909675
"Jahangirpuri, Delhi - DPCC",2022-01-20,340.0425,485.5729166666667,62.84916666666667,68.98375,87.94166666666666,86.96083333333333,22.21541666666667,2.407083333333333,20.32375,,15.52125,87.57583333333334,0.41708333333333325,159.60625,46.04458333333334,988.8450000000001,12.496250000000002,0.0,0.0,28.73282,77.170633,235.52775490128752
"Jahangirpuri, Delhi - DPCC",2022-01-21,314.6458333333333,438.0104166666667,56.02791666666667,74.7675,86.37833333333333,90.09125,12.409545454545453,2.6191304347826088,28.835652173913044,,17.267916666666668,86.5775,0.36375,156.49166666666667,48.094583333333325,988.8716666666666,12.759583333333333,0.0,0.0,28.73282,77.170633,196.0115556678257
"Jahangirpuri, Delhi - DPCC",2022-01-22,183.69791666666666,226.16666666666666,18.78875,51.53208333333333,42.605,87.08,12.859999999999998,1.781666666666667,41.82208333333333,,10.699166666666665,89.1704347826087,0.8108695652173914,165.94521739130437,14.361739130434783,984.7330434782609,12.587391304347825,0.0,0.0,28.73282,77.170633,130.29990410530226
"Jahangirpuri, Delhi - DPCC",2022-01-23,178.95833333333334,217.11458333333334,37.80125,37.63458333333333,50.835416666666674,73.74624999999999,10.162916666666666,1.9100000000000001,23.64,,9.545416666666666,90.26958333333334,0.4879166666666667,143.16416666666666,24.92375,986.9629166666667,12.296666666666667,0.0,0.0,28.73282,77.170633,107.77962011110552
"Jahangirpuri, Delhi - DPCC",2022-01-24,245.7375,318.7375,70.287,44.9135,81.94149999999999,80.0865,9.0875,2.2704999999999997,14.791,,20.021,89.373,0.2715,114.67049999999999,41.4995,991.1015,11.718,0.0,0.0,28.73282,77.170633,111.72715594684374
"Jahangirpuri, Delhi - DPCC",2022-01-25,205.16666666666666,292.3020833333333,57.18625,42.27,69.09708333333333,76.54958333333333,9.903333333333334,2.0908333333333333,12.257083333333334,,14.740416666666667,91.11791666666666,0.27875,229.94583333333335,22.13291666666667,992.00875,10.995416666666666,0.0,0.0,28.73282,77.170633,121.84650703752133
"Jahangirpuri, Delhi - DPCC",2022-01-26,239.13541666666666,312.03125,36.91416666666667,45.35833333333333,54.232916666666675,77.03375,11.895833333333334,1.95625,18.35083333333333,,10.890833333333333,87.75999999999999,0.2904166666666667,172.74791666666667,51.86625,992.6841666666668,11.802083333333334,0.0,0.0,28.73282,77.170633,127.58319889397407
"Jahangirpuri, Delhi - DPCC",2022-01-27,190.875,265.4166666666667,33.099583333333335,58.26958333333334,57.98458333333334,78.46124999999999,13.893749999999999,1.7991666666666666,24.33375,,10.538749999999999,80.625,0.28125,253.77374999999998,54.60916666666666,993.72375,12.422083333333333,0.0,0.0,28.73282,77.170633,119.98090484363081
"Jahangirpuri, Delhi - DPCC",2022-01-28,155.4375,247.57291666666666,32.64458333333334,60.84458333333333,58.96958333333333,79.28250000000001,16.142083333333332,1.7416666666666665,35.393750000000004,,9.419583333333334,67.365,0.33041666666666664,267.94041666666664,48.932916666666664,993.4949999999999,12.769583333333335,0.0,0.0,28.73282,77.170633,109.69729009275582
